Eng,Chi
GULLY,
Yang Kai,楊凱
Lau Hok Shing Hanison,劉學成
Kenny Leun,梁世潘
Roy Lam,林磊剛
Chen Xi,陳熹
Jeffrey Leung,
Andrey Babchinsky,
Alexandra Kehayoglou,
Yau Ngai Lam,丘藝藍
Chow Hoi Lam Jenny,周凱琳
Chung Yan Wing Ronnie,鍾欣詠
Nairy Baghramian,
Janette Laverrière,
Danh Vo,
Ramon Otting,
Du Yuqing,杜雨青
Ding Yi,
Cai Jin,
Li Shan,
Liu Ming,
Wang Peng,
Yu Youhan,
Zhang Wei,
Zhang Zhenyu,
Yamada Masaaki,
Ha Chong-Hyun,
Yun Hyong-keun,
Lee Ufan,
Friedrich Kunath,
Billy Childish,
Edward Burtynsky,
El Anatsui,
hRLck,
Sandy Chan,陳秀嫦
Gu Benchi,
Yogesh Barve,Yogesh Barve
CAMP,
Gum Cheng,CAMP
Dafen Village,鄭怡敏
Bhupen Khakar,大芬油畫村
Ko Sin Tung,Bhupen Khakar
Lawrence Liang,高倩彤
Prabhakar Pachpute,梁日明
Rastey Ka Pathar,Prabhakar Pachpute
Kala Pathar,Rastey Ka Pathar
Amol Patil,Kala Pathar
Rupali Patil,Amol Patil
Angela Su,Rupali Patil
Ronnie Wong,徐世琪
Trevor Yeung,黃勵強
,楊沛鏗
Eunice Cheung,
Chloe Cheuk,卓思穎
Chan Yi Ting & Chu Chin Ching,陳伊婷
,朱仟青
Collection of Ch’ien Mu Library,錢穆圖書館藏品
Ren Jing,
Xiao Zheluo,
Dwi Setianto,
Eddi Prabandono,
Lie Fhung,
S. Teddy Darmawan,
GE HUI,葛輝
Man Fung-yi,文鳳儀
Mok Yat-san,莫一新
Antoine Ramea,
JOHAN CRETEN,
Cai Jinwei,蔡謹蔚
Natsuki Machida,
Nina Kawamata,
Hiroko Uehara,
Poon Kan Chi,潘柬芝
CHENG RAN,程然
TSANG KIN-WAH,曾建華
YANG YI-SHIANG,楊依香
Yu Nancheng,
Dong Jian,
Li Yueling,
Frank Tang,鄧啟耀
Marian Drew,
Frog King Kwok,
Elva Lai,
Elvis Yip,
Edwin Lo,
Rental United,
Lam Hoi Sin,
Sunday Lai,
Susan Yeung,楊素珊
Ada Chan,陳竹君
Bea Au,
Jessie Leung,
Josephine Lui,
Madoka Takagi,高木まどか
Gavin Turk,加文‧特克
Daido Moriyama,森山大道
Nobuyoshi Araki,荒木經惟
Shomei Tomatsu,東松照明
and Kazuo Kitai etc,北井一夫等
XUE Song,薛松
George Nelson,
Gobotoru,
,鍾承佑
Sven Augustijnen,Sven Augustijnen
Iman Issa,Iman Issa
Sanja Iveković,Sanja Iveković
Rajkamal Kahlon,Rajkamal Kahlon
Anton Kannemeyer,Anton Kannemeyer
Kayfa ta & Haytham El-Wardany,Kayfa ta & Haytham El-Wardany
Kwan Sheung Chi,關尚智
Runo Lagomarsino,Runo Lagomarsino
Maha Maamoun,Maha Maamoun
Anson Mak,麥海珊
Jumana Manna,Jumana Manna
MAP Office,MAP Office
Mulugeta Kassa,Mulugeta Kassa
Daniela Ortiz,Daniela Ortiz
Edgar Morin & Jean Rouch,Edgar Morin & Jean Rouch
Wong Yee Ki,黃綺琪
Ray Chan See-kwong,
Nick Poon Fai-wong,
Miu Tsang Che-ching,
Ben Yau Man-pun,
M.L.A.K.F.,
Lemon Lee,
Joelle Lei,
Clara Lei,
Gregor Hildebrandt,
David Smith,
Bovey Lee,
Kwok Ying,
Tsang Chui-mei and Wong Yee-ki,
Zeng Guoqing,曾國慶
GU Wenda,谷文達
Sunday Lai,余淑培
Yu Shuk Pui Bobby,黎朗生
Kim Gyung-Min,金庚民
Josephine Tam,譚淑娟
Robin Rhode,
,鄭褘
,王宇雯
,郭宇紅
,Dryden Wells
,梁慧思
Soeun Park,
Danny Lee,甘志強
Kum Chi-keung,李展輝
Rosanna Li Wei-han,李慧嫻
RomanWilhelm,
Lalla Essaydi,
Vincent Yu,余偉建
Eric TSANG,
Ivan CHAN,
Rita LAM,
Shirley NG,
Max CHAN,
Charlotte MAN,
Dino RIB,
Justin Wong Chiu Tat,黃照達
LAM Tung Pang,林東鵬
Carol LEE,李美娟
Cedric MARIDET,Cedric MARIDET
Angela SU,徐世琪
Yuk King TAN,陳玉瓊
TANG Kwok-hin,鄧國騫
Kacey WONG,黃國才
Adrian WONG,王浩然
Trevor YEUNG,楊沛鏗
Chan Shing Kau,陳成球
Yeung Jwok Fan,楊國芬
Nina Pryde,派瑞芬
Jiwye To,杜之外
Lau Kam Chee,劉金芝
Chan Chak Fai,陳澤輝
Yau Mui Chun,
Wong Wai Keung,游梅珍
Fonny Lau,黃惠強
Jessie Leung,劉月寶
Joey Leung,梁家儀
Julvian Ho,梁祖彝
Wong Tong,何晉暐
Zhang Zhe,王永棠
Artists from Hong Kong Modern Ink Painting Society,張哲
,香港現代水墨畫會藝術家
Brian Brake,布萊恩.布瑞克
TASLIMA AKHTER,塔斯莉瑪卡圖
NAZIK ARMENAKYAN,尼悉亞曼娜祺恩
POULOMI BASU,布璐美巴素
