title,organization/people
陶身體劇場,Organization
進念．二十 面體,
香港藝術館,Organization
藝術地圖,
澳門教育暨青局,Organization
香港文化博物館,Organization
香港舞蹈總會會員 SDM,Organization
air between us,
Condors,
藝 ·牽,
文化薈社,Organization
Association Culturel le France-Hong Kong Limited,
巴黎北方滑稽劇團,Organization
卓藝芭蕾舞團,Organization
bboy IRON MONKEY,
BettyPaige Flamenco,
Bling Storm Entertainment Limited,
嘉露貝文芭蕾舞學校,Organization
倫敦芭蕾舞學校,Organization
陳俊瑋,
廖月敏,
春蕾舞台藝術工作坊,
香港中華基督教青年會顯徑會所,Organization
城市當代舞蹈團有限公司,Organization
Clara Ramona Danza Flamenca Ltd,
湯馬．利布恆 Thomas Lebrun,
ACCRORAP 舞團,Organization
DepARTure,
Desert Mermaids,
Dragonfly Dance,
東區文藝協進會有限公司,Organization
Friends Junction Dance Company,
Glenda Allen Dance Academy,
香港藝術聯會,Organization
Wallonie-Bruxelles Théatre/Danse,
新佛蘭明高舞團,Organization
莫斯科大劇院芭蕾舞團,Organization
香港肚皮舞協會,Organization
奔向未來文化交流協會,Organization
香港城巿合唱團,Organization
香港舞蹈聯盟有限公司,Organization
香港舞蹈團有限公司,Organization
香港藝穗民化節,Organization
香港話劇團有限公司,Organization
可允芭蕾,
International Capoeira Society,
Isla School of Dance,
Island Dance,
Ivy's Ballet Company,
Jade Club,
Karen Siu Dance Academy,
La Danse par Maria,
La P en V 優之舞,
康樂及文化事務署 - 觀眾拓展辦事處,
安東尼奧．加迪斯舞蹈團,Organization
手牽手創意劇團,Organization
狼嚎五度劇團,Organization
莎拉．芭拉斯佛蘭明高舞蹈團,Organization
澳洲室樂團及悉尼舞蹈團,Organization
熒舞團,Organization
潛行者舞蹈劇團,Organization
湯姆．達爾舞蹈團,Organization
康樂及文化事務署 - 娛樂節目辦事處,
春輝藝術團,Organization
俄羅斯四季舞團,Organization
香港舞蹈總會有限公司,Organization
離島區議會,Organization
葵青區議會,Organization
觀塘區議會,Organization
北區區議會,Organization
西貢區議會,Organization
沙田區議會,Organization
南區業主立案法團及業主聯會合辦,Organization
香港國際民族舞蹈總會,Organization
大埔區議會,Organization
灣仔區議會,Organization
康樂及文化事務署 - 藝術節辦事處,
布宜諾斯艾利斯探戈舞團,Organization
Jinjo Crew,
